id,企业名称,统一社会信用代码,所在地区,主营业务,产品信息,产品类型,获批年份,受理号,数据来源,来源URL,验证状态,创建日期,备注
COM-0001,Neovii Biotech GmbH,,,,抗人T细胞兔免疫球蛋白,,,JYSB2600103,CDE-受理品种信息,,待验证,2026-05-12,
COM-0002,Novo Nordisk A/S,,,,生物素化抗CHO 宿主细胞蛋白抗体;CHO 宿主细胞蛋白捕获抗体;CHO 宿主细胞蛋白参考品,,,JTS2600082;JTS2600080;JTS2600081,CDE-受理品种信息,,待验证,2026-05-12,
COM-0003,上海交通大学医学院附属瑞金医院,,上海,干细胞临床研究,,,,,卫健委备案,,待验证,2026-05-12,
COM-0004,上海优卡迪生物医药科技有限公司,,,,具有沉默白介素6表达功能的靶向CD19基因工程化自体T细胞注射液,,,CXSL1900014,CDE-突破性治疗公示,,待验证,2026-05-12,
COM-0005,上海同赛医疗科技有限公司,,,,GC203 TIL细胞注射液,,,CXSB2600015,CDE-临床试验默示许可,,待验证,2026-05-12,
COM-0006,上海君赛生物,,,,GC203 TIL细胞注射液,TIL,2024,,NMPA已获批产品,,待验证,2026-05-12,
COM-0007,上海君赛生物药业有限公司,,,,GC203 TIL细胞注射液,,,CXSB2600015,CDE-临床试验默示许可,,待验证,2026-05-12,
COM-0008,上海安集协康生物技术股份有限公司,,上海,细胞存储、细胞制备,,,,,企业信息,,待验证,2026-05-12,
COM-0009,上海市脐带血造血干细胞库,,上海,脐带血存储,,,,,卫健委批准,,待验证,2026-05-12,
COM-0010,上海市食品药品检验研究院,,上海,细胞产品质量检测,,,,,药监局,,待验证,2026-05-12,
COM-0011,上海恒润达生生物科技有限公司,,,,抗人BCMA T细胞注射液,,,CXSL1800063,CDE-突破性治疗公示,,待验证,2026-05-12,
COM-0012,上海明聚生物科技有限公司,,,,JWCAR029（CD19靶向嵌合抗原受体T细胞）,,,CXSL1800002,CDE-突破性治疗公示,,待验证,2026-05-12,
COM-0013,上海科济制药有限公司,,,,CT053全人抗BCMA自体CAR T细胞注射液;CT041自体CAR T细胞注射液,,,CXSL2000116;CXSL1800054,CDE-突破性治疗公示,,待验证,2026-05-12,
COM-0014,上海细胞治疗集团,,上海,细胞存储、细胞治疗,,,,,企业信息,,待验证,2026-05-12,
COM-0015,中国人民解放军总医院,,北京,干细胞临床研究,,,,,卫健委备案,,待验证,2026-05-12,
COM-0016,中国医学科学院北京协和医院,,北京,干细胞临床研究,,,,,卫健委备案,,待验证,2026-05-12,
COM-0017,中国医科大学附属第一医院,,辽宁,干细胞临床研究,,,,,卫健委备案,,待验证,2026-05-12,
COM-0018,中国食品药品检定研究院,,北京,细胞产品质量检测,,,,,NMPA,,待验证,2026-05-12,
COM-0019,中山大学附属第一医院,,广东,干细胞临床研究,,,,,卫健委备案,,待验证,2026-05-12,
COM-0020,中日友好医院,,北京,干细胞临床研究,,,,,卫健委备案,,待验证,2026-05-12,
COM-0021,中源协和,,天津,细胞存储、干细胞,,,,,企业信息,,待验证,2026-05-12,
COM-0022,中生复诺健生物科技（上海）有限公司,,,,重组人IL12/15-PDL1B单纯疱疹I型溶瘤病毒注射液（Vero细胞）,,,CXSL2000142,CDE-突破性治疗公示,,待验证,2026-05-12,
COM-0023,京东方再生医学科技有限公司,,,,人脐带间充质基质细胞注射液,,,CXSL2501180,CDE-临床试验默示许可,,待验证,2026-05-12,
COM-0024,优恺泽生物医药（上海）有限公司,,,,CT0596 CAR T细胞注射液,,,CXSL2600497,CDE-受理品种信息,,待验证,2026-05-12,
COM-0025,传奇生物,,,,西达基奥仑赛注射液（卡卫荻）,CAR-T,2024,,NMPA已获批产品,,待验证,2026-05-12,
COM-0026,北京双鹭药业股份有限公司,,,,聚乙二醇重组人粒细胞刺激因子注射液,,,CXSS2101081,CDE-上市药品信息,,待验证,2026-05-12,
COM-0027,北京吉诺卫生物科技有限公司,,,,冻干人用狂犬病疫苗（人二倍体细胞）,,,CXSL2600080,CDE-临床试验默示许可,,待验证,2026-05-12,
COM-0028,北京大学第三医院,,北京,干细胞临床研究,,,,,卫健委备案,,待验证,2026-05-12,
COM-0029,北京市脐带血造血干细胞库,,北京,脐带血存储,,,,,卫健委批准,,待验证,2026-05-12,
COM-0030,北京民海生物科技有限公司,,,,吸附无细胞百白破（组分）联合疫苗（成人青少年及儿童用）;Sabin株脊髓灰质炎灭活疫苗（Vero细胞）,,,CXSS2400041;CXSL2600034,CDE-上市药品信息;CDE-临床试验默示许可,,待验证,2026-05-12,
COM-0031,北京永泰瑞科生物科技有限公司,,,,抗CD19单链抗体嵌合抗原受体T细胞注射液,,,CXSL1900099,CDE-突破性治疗公示,,待验证,2026-05-12,
COM-0032,北京永泰生物制品有限公司,,,,扩增活化的淋巴细胞（爱可仑赛注射液）;扩增活化的淋巴细胞,,,CXSL1500082;CXSS2500039,CDE-优先审评公示;CDE-突破性治疗公示,,待验证,2026-05-12,
COM-0033,北京科兴生物制品有限公司,,,,Sabin株脊髓灰质炎灭活疫苗（Vero细胞）,,,CXSS1900003,CDE-优先审评公示,,待验证,2026-05-12,
COM-0034,北科生物,,广东,细胞存储、细胞制备,,,,,企业信息,,待验证,2026-05-12,
COM-0035,华中科技大学同济医学院附属同济医院,,湖北,干细胞临床研究,,,,,卫健委备案,,待验证,2026-05-12,
COM-0036,南京传奇生物科技有限公司,,,,LCAR-B38M CAR-T细胞自体回输制剂（简称：LCAR-B38M细胞制剂）,,,CXSL1700201,CDE-突破性治疗公示,,待验证,2026-05-12,
COM-0037,南京驯鹿医疗技术有限公司,,,,全人源BCMA嵌合抗原受体自体T细胞注射液,,,CXSL1900060,CDE-突破性治疗公示,,待验证,2026-05-12,
COM-0038,南京鼓楼医院,,江苏,干细胞临床研究,,,,,卫健委备案,,待验证,2026-05-12,
COM-0039,南华生物,,湖南,细胞存储、干细胞,,,,,企业信息,,待验证,2026-05-12,
COM-0040,南方医科大学南方医院,,广东,干细胞临床研究,,,,,卫健委备案,,待验证,2026-05-12,
COM-0041,博生吉医药科技（苏州）有限公司,,,,PA3-17注射液,,,CXSL2101087,CDE-突破性治疗公示,,待验证,2026-05-12,
COM-0042,博生吉安科细胞技术有限公司,,,,PA3-17注射液,,,CXSL2101087,CDE-突破性治疗公示,,待验证,2026-05-12,
COM-0043,博雅干细胞,,江苏,细胞存储、干细胞,,,,,企业信息,,待验证,2026-05-12,
COM-0044,厦门万泰沧海生物技术有限公司,,,,重组呼吸道合胞病毒疫苗（CHO细胞）,,,CXSL2501087,CDE-临床试验默示许可,,待验证,2026-05-12,
